#          time               [KKK-P]               [KK-PP]              [K-PP]
      0.29600000E+04       0.21278855E+01       0.10736128E+04       0.98891162E+03
      0.29800000E+04       0.21277050E+01       0.10736167E+04       0.98891172E+03
      0.30000000E+04       0.21275360E+01       0.10736199E+04       0.98891180E+03
      0.30200000E+04       0.21273779E+01       0.10736224E+04       0.98891186E+03
      0.30400000E+04       0.21272301E+01       0.10736244E+04       0.98891191E+03
      0.30600000E+04       0.21270922E+01       0.10736259E+04       0.98891194E+03
      0.30800000E+04       0.21269635E+01       0.10736270E+04       0.98891197E+03
      0.31000000E+04       0.21268436E+01       0.10736278E+04       0.98891199E+03
      0.31200000E+04       0.21267318E+01       0.10736284E+04       0.98891200E+03
      0.31400000E+04       0.21266278E+01       0.10736286E+04       0.98891201E+03
      0.31600000E+04       0.21265311E+01       0.10736287E+04       0.98891201E+03
      0.31800000E+04       0.21264412E+01       0.10736286E+04       0.98891201E+03
      0.32000000E+04       0.21263577E+01       0.10736284E+04       0.98891201E+03
      0.32200000E+04       0.21262801E+01       0.10736281E+04       0.98891200E+03
      0.32400000E+04       0.21262082E+01       0.10736277E+04       0.98891199E+03
      0.32600000E+04       0.21261414E+01       0.10736272E+04       0.98891198E+03
      0.32800000E+04       0.21260796E+01       0.10736267E+04       0.98891197E+03
      0.33000000E+04       0.21260222E+01       0.10736262E+04       0.98891195E+03
      0.33200000E+04       0.21259692E+01       0.10736256E+04       0.98891194E+03
      0.33400000E+04       0.21259200E+01       0.10736250E+04       0.98891192E+03
      0.33600000E+04       0.21258746E+01       0.10736244E+04       0.98891191E+03
      0.33800000E+04       0.21258325E+01       0.10736238E+04       0.98891190E+03
      0.34000000E+04       0.21257936E+01       0.10736232E+04       0.98891188E+03
      0.34200000E+04       0.21257577E+01       0.10736226E+04       0.98891187E+03
      0.34400000E+04       0.21257245E+01       0.10736220E+04       0.98891185E+03
      0.34600000E+04       0.21256938E+01       0.10736214E+04       0.98891184E+03
      0.34800000E+04       0.21256655E+01       0.10736209E+04       0.98891183E+03
      0.35000000E+04       0.21256394E+01       0.10736203E+04       0.98891181E+03
      0.35200000E+04       0.21256153E+01       0.10736198E+04       0.98891180E+03
      0.35400000E+04       0.21255931E+01       0.10736193E+04       0.98891179E+03
      0.35600000E+04       0.21255726E+01       0.10736189E+04       0.98891178E+03
      0.35800000E+04       0.21255537E+01       0.10736184E+04       0.98891177E+03
      0.36000000E+04       0.21255363E+01       0.10736180E+04       0.98891176E+03
      0.36200000E+04       0.21255202E+01       0.10736176E+04       0.98891175E+03
      0.36400000E+04       0.21255055E+01       0.10736172E+04       0.98891174E+03
      0.36600000E+04       0.21254919E+01       0.10736169E+04       0.98891173E+03
      0.36800000E+04       0.21254793E+01       0.10736165E+04       0.98891172E+03
      0.37000000E+04       0.21254678E+01       0.10736162E+04       0.98891171E+03
      0.37200000E+04       0.21254572E+01       0.10736159E+04       0.98891171E+03
      0.37400000E+04       0.21254474E+01       0.10736156E+04       0.98891170E+03
      0.37600000E+04       0.21254384E+01       0.10736154E+04       0.98891169E+03
      0.37800000E+04       0.21254302E+01       0.10736151E+04       0.98891169E+03
      0.38000000E+04       0.21254226E+01       0.10736149E+04       0.98891168E+03
      0.38200000E+04       0.21254156E+01       0.10736147E+04       0.98891168E+03
