#      EC50_KKK-P                    [KKK-P]              EC50_KK-PP                    [KK-PP]               EC50_K-PP                    [K-PP]
   6.5568258742682739E-002   6.7412977677086386E-002   1.0350318471337587       0.52388593782435322        2.8931750317119498       0.97646365487932352     
   6.7249496146341278E-002   6.9472695047760977E-002   1.0615711252653937       0.54129135313293397        2.9673590068840512       0.97805136759686873     
   6.8930733549999804E-002   7.1521778868663705E-002   1.0881104033970284       0.55813595885765088        3.0415429820561526       0.97949390145188386     
   7.0611970953658343E-002   7.3555487646780826E-002   1.1146496815286633       0.57439825933357180        3.1157269572282535       0.98080651933644947     
   7.2293208357316868E-002   7.5569121932274358E-002   1.1411889596602982       0.59006130475256136        3.1899109324003549       0.98200254869772408     
   7.3974445760975407E-002   7.7558104344782344E-002   1.1677282377919329       0.60511258261240608        3.2640949075724563       0.98309367842597961     
   7.5655683164633933E-002   7.9518059938094840E-002   1.1942675159235678       0.61954387205659212        3.3382788827445573       0.98409020380321210     
   7.7336920568292472E-002   8.1444894155498659E-002   1.2208067940552028       0.63335106191831259        3.4124628579166587       0.98500122945969415     
   7.9018157971950997E-002   8.3334865576106226E-002   1.2473460721868375       0.64653393427618722        3.4866468330887601       0.98583483819897955     
   8.0699395375609537E-002   8.5184650771100240E-002   1.2738853503184724       0.65909591635826070        3.5608308082608615       0.98659823194724794     
   8.2380632779268062E-002   8.6991398879148987E-002   1.3004246284501071       0.67104380461773783        3.6350147834329625       0.98729784983941704     
   8.4061870182926601E-002   8.8752773955445660E-002   1.3269639065817420       0.68238746567865260        3.7091987586050639       0.98793946748372508     
   8.5743107586585127E-002   9.0466983718979516E-002   1.3535031847133769       0.69313951955056863        3.7833827337771653       0.98852828068294385     
   8.7424344990243666E-002   9.2132793973453420E-002   1.3800424628450116       0.70331501099064342        3.8575667089492667       0.98906897628719392     
   8.9105582393902191E-002   9.3749528659195183E-002   1.4065817409766466       0.71293107512290299        3.9317506841213676       0.98956579236957254     
   9.0786819797560731E-002   9.5317056153619711E-002   1.4331210191082815       0.72200660339737266        4.0059346592934695       0.99002256952789291     
   9.2468057201219256E-002   9.6835763028695593E-002   1.4596602972399162       0.73056191569775353        4.0801186344655704       0.99044279480047170     
   9.4149294604877795E-002   9.8306516956579854E-002   1.4861995753715511       0.73861844391609310        4.1543026096376714       0.99082963942689739     
   9.5830532008536320E-002   9.9730620802706754E-002   1.5127388535031860       0.74619843164201272        4.2284865848097732       0.99118599147157649     
   9.7511769412194860E-002  0.10110976014717614        1.5392781316348207       0.75332465382152358        4.3026705599818742       0.99151448415402610     
   9.9193006815853385E-002  0.10244594653222940        1.5658174097664557       0.76002015936999801        4.3768545351539752       0.99181752058329931     
  0.10087424421951192       0.10374145865906892        1.5923566878980904       0.76630803883561160        4.4510385103260770       0.99209729547322667     
  0.10255548162317045       0.10499878357456581        1.6188959660297253       0.77221121834335837        4.5252224854981780       0.99235581431434550     
  0.10423671902682899       0.10622055962472464        1.6454352441613602       0.77775228025072507        4.5994064606702798       0.99259491039444825     
  0.10591795643048750       0.10740952263690326        1.6719745222929949       0.78295331023543480        4.6735904358423799       0.99281625999019707     
  0.10759919383414604       0.10856845645503660        1.6985138004246296       0.78783576993758198        4.7477744110144817       0.99302139599463846     
  0.10928043123780457       0.10970014861606120        1.7250530785562646       0.79242039379960860        4.8219583861865827       0.99321172019829684     
  0.11096166864146310       0.11080735164095627        1.7515923566878993       0.79672710838709537        4.8961423613586845       0.99338851440304909     
  0.11264290604512163       0.11189275013438590        1.7781316348195342       0.80077497222774940        4.9703263365307855       0.99355295051564341     
  0.11432414344878017       0.11295893365148095        1.8046709129511691       0.80458213406067081        5.0445103117028864       0.99370609974350255     
  0.11600538085243869       0.11400837510239459        1.8312101910828038       0.80816580733490551        5.1186942868749883       0.99384894099369880     
  0.11768661825609723       0.11504341432462901        1.8577494692144387       0.81154225881185826        5.1928782620470892       0.99398236856021416     
  0.11936785565975576       0.11606624635671445        1.8842887473460737       0.81472680920262575        5.2670622372191902       0.99410719917105694     
  0.12104909306341430       0.11707891388912073        1.9108280254777084       0.81773384388908699        5.3412462123912920       0.99422417845640043     
  0.12273033046707282       0.11808330334348859        1.9373673036093433       0.82057683192510333        5.4154301875633930       0.99433398689040664     
  0.12441156787073136       0.11908114403262401        1.9639065817409782       0.82326835167997814        5.4896141627354949       0.99443724525256971     
  0.12609280527438990       0.12007400987464500        1.9904458598726129       0.82582012165971264        5.5637981379075958       0.99453451964927420     
  0.12777404267804843       0.12106332317023644        2.0169851380042476       0.82824303521762666        5.6379821130796968       0.99462632613079671     
  0.12945528008170695       0.12205035999592445        2.0435244161358828       0.83054719803481669        5.7121660882517986       0.99471313493716296     
  0.13113651748536548       0.12303625681594220        2.0700636942675175       0.83274196741320239        5.7863500634238996       0.99479537440105281     
  0.13281775488902403       0.12402201796599958        2.0966029723991522       0.83483599257265950        5.8605340385960005       0.99487343453497112     
  0.13449899229268256       0.12500852371272919        2.1231422505307873       0.83683725528012098        5.9347180137681024       0.99494767032689857     
